start_station_id,cluster
1,two
3,two
4,one
5,zero
6,zero
7,two
8,one
9,zero
10,two
11,two
12,zero
13,zero
14,two
15,one
16,zero
17,zero
19,one
20,zero
21,zero
22,zero
23,zero
24,two
25,one
26,one
27,one
29,two
30,two
31,two
32,zero
33,zero
35,two
36,zero
37,zero
39,one
40,one
41,one
42,two
43,zero
44,zero
45,zero
46,zero
47,zero
48,two
49,zero
50,two
51,one
52,zero
53,zero
54,two
55,zero
56,zero
57,one
58,zero
59,two
60,zero
61,zero
63,one
64,two
65,two
66,one
67,two
68,zero
69,one
70,two
71,one
72,two
73,two
74,two
75,zero
76,zero
77,one
78,one
79,one
80,two
81,zero
82,one
84,two
85,two
87,one
88,one
89,zero
90,zero
91,two
92,two
93,zero
94,one
95,one
96,zero
97,zero
98,one
99,one
100,zero
102,one
103,one
104,one
105,zero
107,two
108,two
109,one
110,zero
111,one
112,one
113,one
114,one
115,one
116,one
117,two
118,one
119,one
120,zero
121,one
122,zero
124,one
125,one
126,one
128,one
129,one
130,zero
131,one
133,one
134,two
135,two
136,two
137,one
138,two
139,one
140,zero
141,two
142,zero
143,zero
145,one
146,zero
149,one
150,zero
151,zero
152,one
153,two
159,zero
160,two
161,one
162,zero
163,zero
167,one
169,one
170,two
171,one
173,one
174,one
175,one
176,one
177,zero
178,zero
179,zero
180,zero
182,two
183,zero
184,zero
185,two
186,two
189,two
190,one
192,two
193,one
194,one
195,one
196,one
197,one
199,zero
200,zero
201,one
202,two
203,zero
204,one
205,one
208,one
209,one
210,two
211,one
212,two
213,two
214,two
215,zero
216,one
217,two
218,two
219,one
221,zero
224,zero
225,zero
226,one
227,two
228,two
229,two
230,two
